state,capital,x,y
Andhra Pradesh,Amaravati,-69,-149
Arunachal Pradesh,Itanagar,214,123
Assam,Dispur,187,81
Bihar,Patna,58,65
Chhattisgarh,Raipur,-9,-25
Goa,Panaji,-159,-139
Gujarat,Gandhinagar,-198,14
Haryana,Chandigarh,-108,131
Himachal Pradesh,Shimla,-89,184
Jammu-Kashmir,Srinagar[summer] & Jammu [winter],-129,223
Jharkhand,Ranchi,50,22
Karnataka,Bengaluru,-126,-161
Kerala,Trivandrum,-109,-255
Ladakh,Leh,-95,246
Madhya Pradesh,Bhopal,-84,18
Maharashtra,Mumbai,-138,-64
Manipur,Imphal,208,54
Meghalaya,Shillong,149,68
Mizoram,Aizawl,194,27
Nagaland,Kohima,219,84
Odisha,Bhubaneswar,42,-35
Punjab,Chandigarh,-120,168
Rajasthan,Jaipur,-158,88
Sikkim,Gangtok,108,101
Tamil Nadu,Chennai,-76,-228
Telangana,Hyderabad,-65,-90
Tripura,Agartala,172,33
Uttar Pradesh,Lucknow,-34,88
Uttarakhand,Dehradun,-55,152
West Bengal,Kolkata,101,16